ID	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
123	Shanghai Jiao Tong University		63.6	83.6	90.7	41.1	20.4	12.3	54.9	51.9	78.7	68.1	73.5	70.2
124	University of York		63.5	72.5	72.9	44.8	47.9	82.9	57.3	73.7	62.5	66.6	66	66.1
125	University of Southern California		63.2	67.1	59.7	55.3	20.1	71.7	72.7	64.8	70.3	71.7	66	67.2
126	Humboldt-Universität zu Berlin		63.1	97.2	58.5	29.2	48.7	43.4	38.7	77.9	66.6	70.7	75.1	69.9
127	Universidade de São Paulo (USP)		63	94.2	87.6	36.8	11.4	5.7	40.5	65.5	71.6	70.3	73	73.4
128	Georg-August-Universität Göttingen		62.8	76	38.6	81.1	44.5	35.8	40.4	61.9	57.2	71.3	74.9	58.2
129	Newcastle University	5	62.5	50.4	77	64.8	82.1	91	63.8	57.3	64.2	71.7	62.9	60.5
130	University of California. Santa Barbara (UCSB)		62.2	81.6	16.6	14.3	66.6	30.3	99.9	51.9	69.1	60.6	81	54.4
131	University of Liverpool		62.2	56	76.1	62	77.1	85.9	57.3	57.8	67.7	71.1	71.4	57.6
132	University of Virginia		62.1	53.5	64.8	68.7	49.8	39.7	78.7	64.3	59.2	69.9	64.4	66.5
133	Kyushu University		62	66.8	75.2	98	17.8	23.8	29.5	52	67.2	67.9	69.9	55.3
134	Eberhard Karls Universität Tübingen		61.8	66.9	55.8	89.5	35.1	41.2	37.6	70.7	0	74.9	69.1	57.4
135	Technical University of Denmark		61.8	41.5	49.7	98.4	92.7	72.6	60.4	0	79.6	61.5	74.2	0
136	Cardiff University		61.7	60.2	66.3	63.8	72.5	72.7	53.7	60.8	64	72.1	65.9	66.9
137	Rice University		61.7	48.3	24.5	67.6	64.2	70.7	97.2	53.9	73.3	52.9	76	54.7
138	Université Catholique de Louvain (UCL)		61.3	75.5	68.5	40	81	66.6	43.3	65.3	69.1	68.2	70.8	71.9
139	University College Dublin		61.2	61.5	66.7	54.6	93.3	96.5	46.4	63.4	68.3	68.6	66.5	66.9
140	McMaster University		61	60.4	52.3	39.3	82.4	51.8	84	51.9	67.3	75.7	69.2	61.1
141	Emory University		60.9	42.7	30.8	87.8	18.1	43.5	99.4	53.4	0	78.8	59.8	59.1
142	Hebrew University of Jerusalem		60.9	68	37.5	73.4	28.2	9.2	65.7	63	62.4	70.2	67.8	61.1
143	Radboud University Nijmegen		60.8	44.2	52.9	75.1	57.2	36.8	89.6	56	0	71.7	64.1	57.6
144	Hokkaido University		60.6	64.9	61.2	88	13.5	18.8	45.3	46.4	66.8	65.3	71.7	56.4
145	Korea University		60.5	71.2	77.7	79.9	19.1	32	27.3	61.8	67.1	61.1	69.7	70.1
146	University of Cape Town		60.5	68.7	65.5	34.2	68.8	57.2	65.4	64.1	61.4	68.8	64.2	68.2
147	Rheinisch-Westfälische Technische Hochschule Aachen		60.1	74.6	94.4	38.1	38.9	48	43.4	54.8	79.8	63.1	78.6	56.2
148	University of Aberdeen		59.9	53.6	50.6	53.6	89.4	94.9	66.2	60.9	62.9	70.2	59.9	60.4
149	University of California. Irvine 		59.6	66.4	40.4	25.5	53.1	28.7	98.1	59.4	68	72.5	74	63.7
150	Wageningen University		59.4	49.6	41.2	100	46.5	86.2	43	0	0	70.2	74.1	58.3
151	University of Bergen		59.2	48.8	28	73.1	75.6	25.7	84.9	57.4	57.5	64.9	64.5	63.1
152	University of Rochester		59.2	42.4	12.1	99.9	39.1	74	75.9	55.3	59.8	71.1	66.5	62.3
153	Texas A&M University		58.7	73	74.2	19.7	20.2	28.2	77.6	53.1	72.8	67.7	76	64.1
154	University of Bern		58.4	40	44.7	87.1	99	44.5	65.7	56.6	0	67.4	68.1	56.2
155	University of Otago		58.2	62.2	56.6	30.7	100	76.2	62.3	58.9	0	72.7	62	65.8
156	Lancaster University		58.1	60.3	68.2	41.6	84.4	91.9	48.9	65.5	62.1	0	64.4	72.8
157	Eindhoven University of Technology		58	46.9	53.2	99.7	99.7	27	37.1	41	74.7	0	73.5	0
158	Ecole Normale Supérieure de Lyon 		57.7	59.4	28.4	100	58.9	42.8	28.9	0	57.8	0	65.5	0
159	University of Vienna		57.7	84	45	26.9	85.3	89.3	26.2	70.4	61.7	66.4	73.8	66.4
160	University of Colorado Boulder		57.6	53.6	65.9	69.3	38.3	12.1	65.1	54.4	68.4	65.5	79.3	60.6
161	The Hong Kong Polytechnic University		57.5	60.9	59.1	46.7	99.6	89.1	41.2	59.6	73.7	0	65.8	70.8
162	Sungkyunkwan University	5	57.4	56.5	87.4	88.3	19.5	38	26.4	59.9	67.3	63.9	68.6	63.3
163	Rheinische Friedrich-Wilhelms-Universität Bonn		57.3	70.1	33.4	69	15.5	41.9	45.4	57.5	58.1	68.6	74.8	63.3
164	Universidad Nacional Autónoma de México (UNAM)		57.3	95	78.2	44.7	19.2	2.7	6.3	69.3	66.2	66.8	69.2	69.9
165	Zhejiang University		57.2	72.6	72.9	30	14.7	20.4	64.4	54.2	73.7	62.6	72.7	65.9
166	Pontificia Universidad Católica de Chile		57	85.5	87.4	42.1	17.1	21.2	17.5	66.3	64	60.3	61.4	69.9
167	Universiti Malaya (UM)		56.9	58.8	60.8	90	77.3	75.2	7.5	0	64.4	56.6	0	64.1
168	Université Libre de Bruxelles (ULB)		56.8	58.5	58.6	41.5	92.5	96.2	47.9	59.9	64.5	69.6	69.7	66.9
169	University of Exeter		56.8	54.2	75.4	37.4	84.1	92	55.4	63.5	58.1	65	61.3	68.7
170	Stockholm University		56.4	79	63.5	43.1	16.4	21.7	38.7	67.5	66.4	67.5	76.4	72.1
171	Michigan State University		56.2	64.9	67.3	28.8	66	50.7	58.4	56.3	66.5	68	71.8	70.7
172	Queen's University of Belfast		56.1	50.2	70.4	52.5	97.4	91	44.3	56.2	64.5	64.4	66.7	60.8
173	Vrije Universiteit Brussel (VUB)		56.1	41.4	70.2	96.2	71.3	64.7	31.6	51.6	65.5	64.3	62.7	61.4
174	University of Science and Technology of China		55.9	60.4	45.5	60.3	12.7	2.5	70.9	38.1	71.2	59.4	77.9	56.3
175	Case Western Reserve University		55.7	33	5.3	96.5	22.7	59.8	91.8	39.2	57.1	68.5	0	0
176	Nanjing University		55.7	71.4	55.2	41.1	41.2	20.1	50.5	57.9	68	59.7	74.8	63.7
177	Universitat Autónoma de Barcelona		55.6	79	44	34.9	22.8	30.5	48.7	62.2	64.2	66.6	72	69.2
178	University of Barcelona		55.4	84.7	61.5	29	6	23.4	39.3	69.5	71.9	74	76.2	68.3
179	University of Florida		55	61.9	51.6	55.5	15.9	26.8	58.3	56.1	67.3	74.6	70.6	64
180	University of Waterloo		54.9	60.7	81.8	23.8	78.9	70.3	50	49.6	76.8	55.7	73.4	62.8
181	Vanderbilt University		54.8	49.3	16.4	100	6.7	27.1	57.9	48.8	0	74.8	62.7	56.7
182	VU University Amsterdam		54.8	68.2	62.8	44.4	44.7	16.3	45.6	61.3	61.9	71.9	67.4	68.8
183	Technion - Israel Institute of Technology		54.6	55.2	39.7	38.4	66.2	9.9	84.5	0	69.2	63.1	71	0
184	Technische Universität Berlin		54.6	71	73	55.9	38.4	43.4	17.3	48.2	77.3	0	72.7	58.2
185	University of Antwerp		54.2	42.2	46.4	99.5	68.9	53.5	32.3	55.5	61.9	65.5	64.1	64.4
186	Universität Hamburg		54.1	70.8	46.2	55.2	26	46.1	31.4	65.2	62.1	69.3	73	62.8
187	University of Bath		54	46.5	86.9	33	87.7	93.8	54.3	48.6	67.6	58	66.6	67.5
188	University of Bologna		53.8	86.5	67.1	16.8	7.1	19.5	37.9	69.6	67.1	68.8	72.7	68
189	Georgetown University		53.7	49.6	68.2	52.5	63.9	40.7	55.5	65.1	0	66.7	0	71.1
190	Queen's University. Ontario		53.7	53.4	67.8	22.2	74.8	29	78.7	56.7	63.9	66	64	65.4
191	Université Paris-Sud 11		53.7	50.6	31.6	69.5	32.5	56.6	58.6	0	64.5	73.4	75.3	0
192	University of Illinois. Chicago (UIC)		53.5	52.3	47.3	52.8	39.3	22.2	70.3	55.3	67.3	68.9	64.4	61.1
193	Keio University		52.8	67.1	84.6	60.8	15.3	8.2	19.9	56.4	63.2	69.1	58.5	63
194	University of Sussex		52.8	51.6	41	33.5	85.4	93.5	61.3	61.5	0	57.2	61.7	67
195	Universidad Autónoma de Madrid		52.7	72.8	67.6	37.8	15.5	18.2	37	61.6	67.4	66.7	75.3	68.5
196	Aalto University		52.6	48.2	58.6	98	55	30	17	0	73	0	66.8	0
197	Sapienza University of Rome		52.6	85.3	58.1	9.8	5.2	20	46.4	68.9	68.8	68.7	76.4	63.7
198	Tel Aviv University		52.6	59.6	40.7	14.4	26.9	8.6	99.4	54.8	60.8	65.9	66.4	60.5
199	National Tsing Hua University		52.4	59.6	40	32.1	41.3	13.3	76.1	0	71.2	54.5	71.2	57.3
200	Western University	5	52.4	51.1	59.6	33.7	76.5	44.7	65.2	55.4	60.8	67.4	63.5	66.5
201	University of Calgary	5	52.2	56.2	53.6	20.6	51.3	58.3	73	57.8	65	69.1	67.6	61.5
202	Chalmers University of Technology		52.1	44.4	78.9	55.9	69	51.7	45.3	0	75.6	0	71.7	54.1
203	University of Leicester	5	52.1	37	42	56.5	79.4	95.8	64.4	52.8	0	66.4	61.1	59.9
204	Tufts University		52	27.6	34	62.7	73.3	34.9	97.2	52.9	0	71.9	58.2	57
205	Université Paris Diderot - Paris 7		51.8	68.9	17.4	26.9	41.4	49.7	61.8	48.4	57.3	66.3	61.6	0
206	University of Gothenburg		51.8	54.4	51.3	47.4	35.2	19.6	62.6	55.5	57.7	72.3	62.3	65.1
207	University of Turku		51.8	45.2	64.1	86.2	35.6	10.5	37.7	58.7	58.7	67	59.1	67
208	Universität Frankfurt am Main		51	61.9	61	37.4	23.3	51.7	43.8	59.9	59	71.2	66.3	65.7
209	Universidad de Buenos Aires		50.8	91.9	90.5	15.3	0	12.6	5.8	69	65.3	67.2	69.8	71.2
210	University College Cork	5	50.6	47.7	67.1	43.8	88.3	45.3	45.9	54	67.6	66.5	64.8	57.7
211	University of Tsukuba		50.6	52.3	36	90.9	15.7	26.7	28	43.6	60.8	60.9	67	54.7
212	University of Arizona		50.5	57.4	22.5	38.9	23.5	18.9	75.8	58.5	61.8	68.5	71.9	61
213	University of Reading		50.4	45.8	54.5	48.3	84.9	87.8	40.7	60.3	58.2	54.5	66.2	61.8
214	Sciences Po Paris		50.2	36.7	85.3	90.9	68	97.3	1.8	0	0	0	0	71.7
215	Universidade Estadual de Campinas		50.1	72	61.6	34	13.4	6.2	35.9	51.9	66.7	59.1	66.1	62.7
216	King Fahd University of Petroleum & Minerals	4	49.9	44	55.4	84.7	100	61.6	7.7	0	71.2	0	62.7	64.7
217	University Complutense Madrid		49.9	78.2	76.1	33.7	3.7	19.7	14.8	68.2	66.8	65.5	71.1	70.8
218	Université Paris-Sorbonne (Paris IV)		49.9	85.8	76	15.7	24.7	59.9	1.9	75.5	0	0	0	0
219	University of Dundee		49.8	35.2	16.6	68.3	81.8	75.7	61.6	41.8	0	77.2	0	0
220	Université Joseph Fourier - Grenoble 1		49.6	52.5	37.6	45.4	20	47.2	61.2	0	69.4	62.1	76.3	0
221	Waseda University		49.6	72.3	85.4	35.4	34.1	24.7	9.6	62.7	63.8	0	63	65.9
222	Indian Institute of Technology Delhi (IITD)		49.4	51.3	86.8	35.9	1.3	1.5	63.3	0	75.9	0	66.2	59.6
223	Universidad de Chile		49.3	80.1	79.4	19.1	12.2	8.1	21.5	59.6	63.8	63.8	60.4	66.2
224	University of Notre Dame		49.2	41.3	61.6	51.7	49.8	21.9	61.9	64.8	62.1	0	65.2	61.3
225	Université Paris 1 Panthéon-Sorbonne 		49.1	80.4	88	8.2	34	74.7	4.2	76.2	0	0	0	74
226	Université de Strasbourg		48.5	74.3	25.8	19.6	28	67.3	36.5	45.9	65.4	69.6	75.5	55.6
227	University of Ottawa		48.4	47.3	31.7	13.7	88.7	39.8	84.7	51.9	60.2	69.5	60.9	59.2
228	University of Twente		48	39	39.1	44.4	74.6	75.4	59.8	0	68.6	0	65.3	56.9
229	University of East Anglia (UEA)		47.7	44.1	31.2	42.5	83.9	88	48.4	57.4	0	60.7	66.1	60.4
230	National Chiao Tung University		47.5	36.8	34	59.5	51.3	47.2	62.1	0	68.3	0	65.2	55.3
231	Politecnico di Milano		47.5	64	90.6	16.7	28.7	42.3	29	52.8	79.8	0	0	0
232	University of Miami		47.3	27.4	25.8	95.9	12.3	40	59.2	48.8	0	68.4	58.9	53.8
233	Charles University		47.1	57.1	54.3	53.1	13.6	62	21.1	60.9	56.8	62	66.4	59.8
234	Indian Institute of Technology Bombay (IITB)		47.1	58.9	89.2	28.1	3.8	1.2	43	0	75.5	0	68.9	57.1
235	University of Milano 		46.8	63.2	56.1	19	10.8	10.7	54.2	62.3	62	73.4	68.7	61.1
236	University of Iowa		46.5	42.5	25.3	48.1	12.6	34.9	74	57.5	0	68.2	61.7	58.7
237	Westfälische Wilhelms-Universität Münster 		46.5	51.3	60.2	53.4	28	20.5	33.4	59.2	59.1	68.3	72.6	61.6
238	University of Canterbury	5	46.2	46.2	67.7	20.9	100	66.1	41.7	52	67.9	0	64.4	61.2
239	Chulalongkorn University		46.1	73.8	60.8	36.6	15.3	3.7	10.2	0	68.7	61.4	64.7	67.8
240	Indiana University Bloomington		45.9	61.5	51.7	34.5	1.2	31.5	37.3	68	56.9	68.3	64	69.2
241	Saint-Petersburg State University		45.9	49.7	40.3	97.9	5.2	24.3	3.6	0	0	0	63.2	0
