ID	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
852	Lahore University of Management Sciences (LUMS)		0	0	56.3	0	0	0	0	0	0	0	0	0
853	London Business School		0	47.4	100	0	100	100	58.1	0	0	0	0	85.2
854	London School of Hygiene & Tropical Medicine		0	0	0	100	95.6	100	99.8	0	0	70.6	0	0
855	Quaid-i-azam University		0	0	0	0	0	0	38.7	0	0	0	0	0
856	Rockefeller University		0	0	0	100	51.5	98.1	100	0	0	79.2	0	0
857	Stockholm School of Economics		0	0	86.5	0	87.3	49	54	0	0	0	0	70.8
858	Université de Technologie de Compiègne (UTC)		0	0	45.7	0	0	51.3	0	0	61.6	0	0	0
859	University of California. San Francisco		0	73.2	0	99.9	0	0	100	50.8	56.9	89.9	62.4	53.1
860	Weizmann Institute of Science		0	39.9	0	99.2	87.9	34.5	100	0	59.6	64.3	72.1	0
861	WHU – Otto Beisheim School of Management		0	0	64	74.6	82.6	0	0	0	0	0	0	55.4
862	East China University of Science and Technology		0	0	0	0	0	0	0	0	58	0	61.5	0
863	Universität Potsdam		0	0	0	0	0	0	0	43.4	0	0	60.3	0
864	University of Alabama. Birmingham 		0	0	0	0	0	0	0	0	0	62.9	0	0
865	Mayo Medical School		0	0	0	0	0	0	0	0	0	72.4	0	0
866	University of South Africa		0	0	0	0	0	0	0	38.4	0	0	0	0
867	Graz University of Technology		0	0	0	0	0	0	0	0	65.8	0	62.3	0
868	University of Massachusetts Medical School - Worcester 		0	0	0	0	0	0	0	0	0	71.4	0	0
869	Medical University of Vienna		0	0	0	0	0	0	0	0	0	68	0	0
870	University of Maryland. Baltimore County		0	0	0	0	0	0	0	0	0	65.6	0	0
871	Mount Sinai School of Medicine		0	0	0	0	0	0	0	0	0	64.8	0	0
872	Chongqing University		0	0	0	0	0	0	0	0	58.4	0	0	0
873	Budapest University of Technology and Economics		0	0	0	0	0	0	0	0	61.9	0	0	0
874	Institut National des Sciences Appliquées de Lyon (INSA)		0	0	0	0	0	0	0	0	66.2	0	0	0
875	Universidad Diego Portales		0	0	0	0	0	0	0	44.4	0	0	0	0
876	Lanzhou University		0	0	0	0	0	0	0	0	0	0	58	0
877	Scuola Superiore Sant'Anna Pisa		0	0	0	0	0	0	0	0	58.8	0	0	0
878	The University of Texas M. D. Anderson Cancer Center 		0	0	0	0	0	0	0	0	0	76.2	0	0
879	Medical University of Graz		0	0	0	0	0	0	0	0	0	57.3	0	0
880	Ecole Centrale de Lyon		0	0	0	0	0	0	0	0	57	0	0	0
881	Lulea University		0	0	0	0	0	0	0	0	57.2	0	0	0
882	South China University of Technology		0	0	0	0	0	0	0	0	57.6	0	0	0
883	China Agricultural University 		0	0	0	0	0	0	0	0	0	51.9	0	0
884	Dalian University of Technology		0	0	0	0	0	0	0	0	63.7	0	60.1	0
885	Grenoble INP. Grenoble Institute of Technology		0	0	0	0	0	0	0	0	70.1	0	0	0
886	Ecole Centrale de Paris		0	0	0	0	0	0	0	0	68.5	0	0	0
887	Université Sorbonne Nouvelle Paris 3		0	0	0	0	0	0	0	52.8	0	0	0	0
888	East China Normal University		0	0	0	0	0	0	0	46.3	0	0	0	0
889	WU (Vienna University of Economics and Business)		0	0	0	0	0	0	0	0	0	0	0	66.4
890	Universidade Técnica de Lisboa		0	0	0	0	0	0	0	0	60.3	0	0	54.5
891	Università   Bocconi		0	0	0	0	0	0	0	0	0	0	0	79.6
892	Swedish University of Agricultural Sciences 		0	0	0	0	0	0	0	0	0	59.3	0	0
893	Fundação Getulio Vargas		0	0	0	0	0	0	0	0	0	0	0	60.9
894	Central European University 		0	0	0	0	0	0	0	0	0	0	0	57.7
895	University of Portsmouth		0	0	0	0	0	0	0	43.3	0	0	0	0
896	The Open University		0	0	0	0	0	0	0	43	0	0	0	58.4
897	Academy of Sciences of the Czech Republic		0	0	0	0	0	0	0	0	57.6	56.5	66.6	0
898	Université Bordeaux 2. Victor Segalen		0	0	0	0	0	0	0	0	0	55.8	0	0
899	Sichuan University		0	0	0	0	0	0	0	0	0	55.5	61.1	0
900	Semmelweis University		0	0	0	0	0	0	0	0	0	55.4	0	0
901	Beijing University of Chemical Technology		0	0	0	0	0	0	0	0	0	0	60.2	0
902	Singapore Management University		0	0	0	0	0	0	0	0	0	0	0	67.7
903	Universita' degli Studi di Ferrara		0	0	0	0	0	0	0	39.4	0	0	0	0
904	Beijing Jiaotong University		0	0	0	0	0	0	0	39.2	58.2	0	0	0
905	Hunan University 		0	0	0	0	0	0	0	38.7	0	0	0	0
906	The School of Pharmacy. University of London (LSOP)		0	0	0	0	0	0	0	0	0	52.1	0	0
